#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
67.0,6,8.452305
57.0,2,8.455674
50.0,12,8.470443
87.0,26,8.486312
57.0,8,8.49271
53.0,18,8.508349
-34.0,30,8.536159
-25.0,30,8.557398
63.0,19,8.573063
43.0,19,8.586502
-22.0,30,8.612314
60.0,8,8.619815
59.0,22,8.634243
61.0,9,8.64244
75.0,19,8.660356
49.0,16,8.677234
89.0,8,8.683488
-7.0,30,8.710693
70.0,14,8.724237
54.0,14,8.736776
62.0,9,8.742678
57.0,2,8.74571
75.0,6,8.753317
58.0,20,8.769215
64.0,17,8.782922
66.0,4,8.786095
63.0,19,8.804792
56.0,9,8.812603
-39.0,30,8.837704
43.0,22,8.854193
-39.0,30,8.883975
56.0,18,8.895994
65.0,8,8.903182
67.0,6,8.91025
50.0,1,8.914514
58.0,4,8.918687
59.0,24,8.940783
64.0,3,8.944594
65.0,5,8.954752
-19.0,30,8.977959
-48.0,30,8.996674
59.0,3,8.999904
61.0,4,9.008453
94.0,8,9.015121
62.0,16,9.026841
147.0,21,9.041006
-21.0,30,9.069113
58.0,15,9.079666
57.0,8,9.086907
58.0,4,9.091164
44.0,29,9.126448
59.0,21,9.157712
70.0,6,9.168443
40.0,22,9.188433
63.0,16,9.205514
73.0,5,9.208705
50.0,28,9.23034
-39.0,30,9.251436
70.0,11,9.261377
88.0,10,9.269102
50.0,12,9.278566
60.0,19,9.295057
54.0,8,9.3093
52.0,10,9.31587
99.0,22,9.335757
-45.0,30,9.356581
61.0,7,9.366511
95.0,23,9.385237
52.0,10,9.395586
54.0,8,9.403385
56.0,6,9.413587
67.0,6,9.419135
60.0,5,9.423015
38.0,29,9.449421
57.0,13,9.463481
-11.0,30,9.487969
51.0,17,9.50472
57.0,5,9.5079
57.0,8,9.518164
61.0,20,9.535064
51.0,20,9.553042
60.0,8,9.560539
50.0,12,9.575653
56.0,28,9.598858
44.0,29,9.622
55.0,7,9.629072
57.0,22,9.648201
50.0,1,9.650887
