#{"t_start": 1753633972.2405934, "env_id": "None"}
r,l,t
50.0,12,5.977463
54.0,8,5.993098
57.0,5,6.002107
57.0,2,6.003929
57.0,2,6.005587
58.0,4,6.019513
59.0,3,6.025746
58.0,4,6.032932
49.0,13,6.053221
57.0,5,6.061607
54.0,8,6.076581
53.0,9,6.093628
61.0,7,6.104575
57.0,2,6.106314
59.0,6,6.120572
50.0,1,6.121572
59.0,3,6.124037
58.0,4,6.132279
58.0,4,6.140274
57.0,5,6.148414
59.0,3,6.155172
48.0,14,6.174695
59.0,3,6.181267
59.0,3,6.187247
58.0,4,6.190746
58.0,4,6.199896
57.0,5,6.209235
58.0,4,6.217819
52.0,10,6.236279
57.0,5,6.244768
59.0,3,6.251804
59.0,3,6.254374
49.0,13,6.277714
58.0,4,6.285839
50.0,1,6.286726
56.0,6,6.294482
57.0,5,6.303966
59.0,3,6.311099
59.0,6,6.320462
57.0,5,6.328902
57.0,5,6.33837
55.0,7,6.349655
57.0,5,6.358825
59.0,3,6.366613
59.0,3,6.369318
54.0,8,6.385719
57.0,5,6.392968
58.0,4,6.401154
53.0,9,6.418038
50.0,1,6.419136
43.0,19,6.450027
58.0,4,6.452928
57.0,2,6.459111
58.0,4,6.466643
57.0,5,6.475166
57.0,5,6.48352
60.0,5,6.490851
50.0,1,6.491671
57.0,5,6.498382
58.0,4,6.504659
50.0,1,6.505491
56.0,6,6.5127
50.0,1,6.513481
57.0,2,6.518051
59.0,3,6.520746
56.0,6,6.528632
54.0,8,6.540545
58.0,4,6.546436
55.0,7,6.555028
58.0,4,6.561043
57.0,5,6.567762
50.0,1,6.568713
50.0,1,6.569611
58.0,4,6.577858
57.0,5,6.589001
59.0,3,6.605553
59.0,3,6.61019
57.0,5,6.625348
57.0,5,6.641172
58.0,4,6.655364
54.0,8,6.682098
57.0,5,6.693988
59.0,3,6.697306
57.0,2,6.704843
55.0,7,6.717161
59.0,3,6.724726
59.0,3,6.727844
59.0,3,6.736053
57.0,2,6.738025
50.0,1,6.74352
56.0,6,6.754043
57.0,2,6.756158
46.0,16,6.787158
59.0,3,6.793201
57.0,5,6.802457
50.0,1,6.803468
57.0,2,6.810925
54.0,8,6.823117
58.0,4,6.831016
50.0,1,6.832001
57.0,5,6.841981
57.0,5,6.851976
53.0,9,6.865149
47.0,15,6.889434
57.0,5,6.897411
56.0,6,6.906628
56.0,6,6.915533
58.0,4,6.929097
58.0,4,6.938714
57.0,5,6.947821
57.0,5,6.955989
43.0,19,6.985081
58.0,4,6.991202
58.0,4,6.994567
57.0,2,7.000343
54.0,8,7.011574
56.0,6,7.025316
58.0,4,7.028696
57.0,8,7.0435
54.0,8,7.057812
56.0,6,7.065885
57.0,5,7.075274
58.0,4,7.081951
59.0,3,7.08571
59.0,3,7.092673
59.0,3,7.095151
57.0,2,7.100891
58.0,4,7.108357
59.0,3,7.11073
57.0,5,7.118145
58.0,4,7.124884
59.0,3,7.130684
57.0,5,7.139489
57.0,5,7.14984
58.0,4,7.153319
57.0,5,7.161847
59.0,3,7.16851
54.0,8,7.186412
57.0,2,7.188269
57.0,5,7.195693
57.0,5,7.205119
57.0,2,7.206965
50.0,1,7.2125
55.0,7,7.222896
54.0,8,7.237137
57.0,5,7.245272
59.0,3,7.248302
57.0,2,7.255371
57.0,5,7.264508
50.0,1,7.265682
58.0,4,7.272712
58.0,4,7.276618
59.0,3,7.284314
57.0,5,7.29274
57.0,5,7.301708
58.0,4,7.309516
59.0,3,7.312028
59.0,3,7.31885
59.0,3,7.325062
52.0,10,7.341719
58.0,4,7.344543
59.0,3,7.350924
57.0,2,7.352691
58.0,4,7.360321
57.0,2,7.366967
57.0,2,7.368955
57.0,2,7.370457
58.0,4,7.376655
59.0,3,7.382927
57.0,5,7.39135
58.0,4,7.399427
55.0,7,7.408017
50.0,1,7.408798
50.0,1,7.409523
59.0,3,7.415281
57.0,5,7.422624
54.0,8,7.435735
54.0,8,7.444691
59.0,3,7.450712
53.0,9,7.46402
57.0,2,7.465708
57.0,5,7.472402
57.0,2,7.473798
57.0,5,7.482209
57.0,2,7.487948
57.0,5,7.49611
57.0,2,7.498212
50.0,1,7.499147
55.0,7,7.511035
58.0,4,7.517571
57.0,2,7.519216
59.0,3,7.525238
58.0,4,7.528512
57.0,2,7.535354
59.0,3,7.537866
59.0,3,7.544263
58.0,4,7.551968
59.0,3,7.554485
57.0,2,7.560118
55.0,7,7.56947
57.0,5,7.577475
50.0,1,7.57839
58.0,4,7.586235
59.0,3,7.595142
57.0,2,7.597001
57.0,5,7.606598
57.0,2,7.613397
59.0,3,7.6178
54.0,8,7.637928
58.0,4,7.647105
57.0,5,7.656745
57.0,5,7.667244
58.0,4,7.670591
59.0,3,7.676725
57.0,2,7.678499
58.0,4,7.687869
57.0,5,7.696675
57.0,5,7.706053
50.0,1,7.7071
50.0,1,7.712974
55.0,7,7.723041
57.0,5,7.734171
58.0,4,7.742179
59.0,3,7.744541
54.0,8,7.758471
53.0,9,7.782659
38.0,24,7.82597
57.0,2,7.827469
58.0,4,7.83533
52.0,10,7.852879
50.0,1,7.853733
59.0,3,7.859397
58.0,4,7.86215
57.0,5,7.870736
45.0,17,7.900197
58.0,4,7.906647
59.0,3,7.908841
57.0,5,7.918561
56.0,6,7.927678
54.0,8,7.941742
56.0,6,7.950326
-48.0,30,8.006005
58.0,4,8.017673
54.0,8,8.037872
58.0,4,8.042006
57.0,2,8.049367
57.0,5,8.058961
57.0,2,8.060635
57.0,5,8.070399
57.0,5,8.079186
54.0,8,8.097438
57.0,5,8.107516
54.0,8,8.120135
56.0,6,8.136403
57.0,5,8.147779
57.0,5,8.160693
58.0,4,8.167226
57.0,2,8.174704
57.0,5,8.185671
59.0,3,8.189587
56.0,6,8.20576
56.0,6,8.218799
57.0,5,8.231352
56.0,6,8.243507
58.0,4,8.253265
50.0,1,8.254499
59.0,3,8.262421
58.0,4,8.265992
59.0,3,8.273586
59.0,3,8.281194
57.0,2,8.283185
57.0,5,8.331538
59.0,3,8.42232
50.0,1,8.42356
58.0,4,8.438007
56.0,6,8.486673
56.0,6,8.51209
58.0,4,8.555311
53.0,9,8.573291
50.0,1,8.574672
57.0,2,8.576593
59.0,3,8.583957
59.0,3,8.587653
58.0,4,8.617642
50.0,1,8.618731
54.0,8,8.688697
58.0,4,8.70563
57.0,5,8.714997
46.0,16,8.740213
59.0,3,8.74784
58.0,4,8.752074
57.0,5,8.762414
59.0,3,8.769779
58.0,4,8.777955
57.0,5,8.786631
54.0,8,8.797999
57.0,5,8.806832
50.0,1,8.812286
57.0,5,8.820748
58.0,4,8.824195
57.0,5,8.832448
58.0,4,8.840467
50.0,1,8.841447
59.0,3,8.849044
58.0,4,8.856971
57.0,5,8.865838
54.0,8,8.87757
55.0,7,8.891806
58.0,4,8.899176
50.0,1,8.900055
59.0,3,8.902107
57.0,5,8.90927
50.0,12,8.930692
50.0,1,8.931652
58.0,4,8.938848
59.0,3,8.941327
59.0,3,8.94744
57.0,2,8.948875
57.0,5,8.955397
50.0,1,8.959443
56.0,6,8.967013
57.0,2,8.968449
59.0,3,8.973711
57.0,2,8.975149
56.0,6,8.98237
56.0,6,8.99894
50.0,1,8.999967
58.0,4,9.00725
58.0,4,9.010931
58.0,4,9.020026
57.0,5,9.02911
59.0,3,9.034744
58.0,4,9.041434
59.0,3,9.043683
56.0,6,9.051269
59.0,3,9.057264
57.0,5,9.065399
58.0,4,9.072699
59.0,3,9.076142
57.0,5,9.086396
50.0,1,9.092804
58.0,4,9.096949
50.0,1,9.102892
53.0,9,9.12365
57.0,5,9.13262
57.0,5,9.140999
59.0,3,9.148215
48.0,14,9.172412
58.0,4,9.178921
58.0,4,9.182025
59.0,3,9.187677
59.0,3,9.193825
59.0,3,9.196179
58.0,4,9.203711
59.0,3,9.210529
50.0,1,9.211516
57.0,5,9.21947
57.0,5,9.226978
58.0,4,9.23356
43.0,19,9.260826
55.0,7,9.276629
57.0,5,9.286123
50.0,1,9.287201
58.0,4,9.295146
57.0,5,9.301955
58.0,4,9.308862
57.0,2,9.310445
57.0,2,9.311923
53.0,9,9.32579
50.0,1,9.326723
50.0,1,9.331721
57.0,2,9.333479
58.0,4,9.341626
54.0,8,9.35242
57.0,5,9.360529
57.0,5,9.36763
57.0,2,9.373011
56.0,6,9.380257
56.0,6,9.387334
58.0,4,9.393173
57.0,5,9.399491
57.0,2,9.400898
57.0,5,9.407552
59.0,3,9.412651
59.0,3,9.418498
58.0,4,9.4212
56.0,6,9.431368
56.0,6,9.439563
59.0,3,9.441615
58.0,4,9.447256
58.0,4,9.454341
58.0,4,9.461339
58.0,4,9.468246
56.0,6,9.475317
57.0,2,9.476683
57.0,5,9.483042
57.0,5,9.489336
55.0,7,9.500375
59.0,3,9.502446
58.0,4,9.508145
58.0,4,9.514462
57.0,5,9.521093
59.0,3,9.523413
55.0,7,9.536565
53.0,9,9.550473
55.0,7,9.55836
57.0,5,9.565097
57.0,5,9.571562
59.0,3,9.577204
50.0,1,9.578013
47.0,15,9.601746
59.0,3,9.604512
58.0,4,9.612371
52.0,10,9.630805
57.0,2,9.63582
58.0,4,9.638909
56.0,6,9.65036
59.0,3,9.65249
58.0,4,9.659537
59.0,3,9.664967
57.0,2,9.666432
59.0,3,9.671805
54.0,8,9.680974
57.0,2,9.686763
50.0,1,9.687714
57.0,2,9.689405
57.0,5,9.697552
55.0,7,9.711416
50.0,1,9.712394
58.0,4,9.719856
58.0,4,9.723239
50.0,1,9.728213
57.0,2,9.72996
57.0,5,9.738433
50.0,1,9.739406
58.0,4,9.746875
59.0,3,9.753558
59.0,3,9.756076
58.0,4,9.763332
58.0,4,9.769852
57.0,2,9.771265
57.0,5,9.77811
59.0,3,9.790381
55.0,7,9.803392
50.0,12,9.826744
55.0,7,9.836718
58.0,4,9.84444
58.0,4,9.8517
58.0,4,9.854957
58.0,4,9.862344
57.0,5,9.869036
54.0,8,9.884257
58.0,4,9.891878
58.0,4,9.895184
57.0,5,9.903141
58.0,4,9.910452
58.0,4,9.917704
59.0,3,9.924869
59.0,3,9.927309
59.0,3,9.932914
55.0,7,9.941386
58.0,4,9.947548
58.0,4,9.953574
58.0,4,9.961407
58.0,4,9.964746
