#{"t_start": 1753632985.960206, "env_id": "None"}
r,l,t
63.0,8,11.370855
85.0,10,11.377272
56.0,6,11.382114
106.0,15,11.392688
31.0,28,11.413668
125.0,19,11.427977
106.0,9,11.513107
127.0,12,11.522829
57.0,5,11.526798
50.0,1,11.527704
74.0,7,11.53307
169.0,30,11.553451
179.0,29,11.573642
56.0,12,11.581306
57.0,11,11.589612
52.0,10,11.597197
171.0,30,11.702782
178.0,20,11.718017
58.0,12,11.72706
51.0,11,11.735799
85.0,11,11.74447
102.0,21,11.760778
72.0,6,11.765514
153.0,30,11.8787
31.0,28,11.899705
54.0,11,11.909803
69.0,14,11.923029
72.0,15,11.933041
187.0,30,11.957512
120.0,11,11.964579
59.0,26,12.060919
18.0,30,12.080204
58.0,13,12.088955
174.0,30,12.109835
78.0,18,12.124129
61.0,7,12.129195
88.0,9,12.135455
77.0,13,12.224215
85.0,18,12.238295
149.0,17,12.251274
120.0,14,12.262081
5.0,30,12.284889
169.0,21,12.30078
72.0,11,12.309089
57.0,5,12.312992
50.0,1,12.313753
50.0,1,12.31448
164.0,30,12.422112
157.0,30,12.445781
192.0,30,12.468649
171.0,30,12.48917
179.0,30,12.597055
69.0,7,12.60266
192.0,30,12.62528
79.0,13,12.635395
76.0,27,12.656212
187.0,27,12.676436
58.0,4,12.679075
82.0,25,12.782133
60.0,8,12.788776
65.0,5,12.792679
73.0,23,12.810986
3.0,30,12.831228
79.0,15,12.841199
65.0,14,12.850749
85.0,15,12.946796
57.0,11,12.955166
47.0,15,12.967937
106.0,9,12.974427
56.0,6,12.979056
159.0,30,13.002334
106.0,30,13.024842
54.0,11,13.033798
101.0,9,13.040176
50.0,1,13.040917
66.0,7,13.12909
192.0,30,13.151218
59.0,18,13.163384
190.0,24,13.182698
157.0,17,13.197248
70.0,10,13.205052
65.0,21,13.222118
27.0,30,13.345967
67.0,9,13.353184
208.0,25,13.372123
71.0,9,13.37895
54.0,16,13.391218
67.0,12,13.400408
50.0,1,13.401392
24.0,30,13.422815
74.0,8,13.504474
179.0,30,13.525526
66.0,11,13.534905
59.0,6,13.538857
69.0,19,13.551112
122.0,30,13.570287
124.0,13,13.580403
75.0,17,13.681731
88.0,21,13.698041
64.0,10,13.705879
68.0,24,13.724055
57.0,20,13.738796
103.0,25,13.756978
50.0,1,13.757877
89.0,18,13.771731
107.0,25,13.866357
57.0,5,13.869985
192.0,30,13.890612
123.0,20,13.904948
110.0,21,13.930425
24.0,30,13.954984
72.0,7,14.03746
70.0,10,14.045119
54.0,8,14.051636
94.0,30,14.071532
221.0,27,14.089635
171.0,30,14.111435
87.0,22,14.209152
87.0,10,14.21701
79.0,14,14.227713
36.0,30,14.252153
78.0,27,14.273481
88.0,16,14.285459
57.0,17,14.296568
71.0,10,14.303533
104.0,26,14.406357
107.0,20,14.422268
156.0,30,14.446394
66.0,10,14.454252
69.0,7,14.459633
50.0,1,14.46051
54.0,8,14.466568
146.0,18,14.48049
116.0,17,14.576861
66.0,30,14.597554
75.0,13,14.608657
30.0,30,14.629684
17.0,30,14.652997
67.0,22,14.754046
-21.0,30,14.775872
15.0,30,14.795016
57.0,13,14.804691
76.0,30,14.824359
107.0,29,14.937676
100.0,19,14.952414
155.0,30,14.972382
192.0,30,14.992914
148.0,23,15.010339
90.0,18,15.104153
21.0,30,15.124203
179.0,30,15.143708
90.0,15,15.153927
30.0,30,15.173541
27.0,30,15.282612
84.0,30,15.305783
73.0,19,15.320127
87.0,25,15.3367
21.0,30,15.358578
187.0,30,15.461407
192.0,30,15.484422
105.0,16,15.494892
72.0,17,15.506446
176.0,19,15.519355
177.0,30,15.538686
77.0,23,15.638262
192.0,30,15.658826
60.0,5,15.662127
169.0,30,15.681873
147.0,30,15.702384
72.0,20,15.798664
85.0,13,15.807533
62.0,12,15.815884
80.0,30,15.837622
62.0,6,15.841578
66.0,13,15.851257
93.0,30,15.875358
64.0,14,15.886652
74.0,12,15.986952
106.0,9,15.99388
59.0,17,16.005998
-6.0,30,16.026653
187.0,30,16.048076
77.0,9,16.055644
192.0,30,16.16406
71.0,4,16.167044
179.0,30,16.187684
129.0,19,16.202095
62.0,11,16.210403
108.0,10,16.218056
82.0,12,16.226572
119.0,13,16.236027
103.0,26,16.334635
79.0,7,16.340089
97.0,14,16.349736
122.0,15,16.359427
90.0,15,16.370277
187.0,30,16.392527
62.0,9,16.398546
65.0,5,16.40252
69.0,30,16.514724
171.0,30,16.539047
103.0,25,16.556252
230.0,28,16.575835
61.0,4,16.579327
156.0,27,16.601071
59.0,11,16.609562
72.0,14,16.704588
25.0,30,16.726263
101.0,9,16.733381
-39.0,30,16.756728
100.0,20,16.771204
57.0,2,16.773223
58.0,24,16.793262
50.0,30,16.910254
52.0,30,16.935921
64.0,3,16.938197
192.0,30,16.959803
15.0,30,16.983385
179.0,30,17.101654
77.0,15,17.113672
58.0,4,17.116964
163.0,30,17.145635
177.0,30,17.172049
71.0,8,17.180549
108.0,30,17.331146
68.0,10,17.3389
83.0,17,17.352925
69.0,17,17.36569
18.0,30,17.386883
102.0,19,17.402697
82.0,22,17.519661
86.0,12,17.529913
70.0,6,17.534534
71.0,15,17.547692
67.0,12,17.557967
192.0,30,17.591281
161.0,30,17.62862
69.0,11,17.652017
101.0,25,17.784588
52.0,30,17.807481
93.0,10,17.8153
67.0,30,17.839254
99.0,13,17.850174
187.0,30,17.87614
59.0,30,17.997232
84.0,15,18.008734
75.0,14,18.023983
95.0,24,18.04227
100.0,28,18.063555
75.0,12,18.073013
72.0,13,18.18216
150.0,16,18.194311
75.0,30,18.218381
56.0,30,18.242223
71.0,7,18.24783
92.0,15,18.259368
80.0,6,18.264365
75.0,13,18.274208
118.0,14,18.381217
50.0,30,18.40419
132.0,28,18.425941
12.0,30,18.44934
30.0,30,18.471974
53.0,30,18.583619
96.0,30,18.604202
60.0,23,18.621875
229.0,29,18.64307
75.0,18,18.743443
53.0,30,18.766673
71.0,30,18.786308
54.0,11,18.793272
187.0,30,18.815685
102.0,30,18.938659
106.0,15,18.951254
64.0,30,18.973884
182.0,30,18.997375
50.0,1,18.998581
229.0,29,19.022458
129.0,21,19.130773
131.0,30,19.156127
43.0,19,19.170976
59.0,3,19.173081
163.0,30,19.194706
91.0,9,19.200771
83.0,9,19.206445
174.0,30,19.349897
81.0,13,19.361667
67.0,12,19.373005
73.0,17,19.384427
66.0,10,19.390706
57.0,2,19.392058
52.0,10,19.398613
187.0,30,19.420719
179.0,30,19.566229
150.0,16,19.577642
53.0,12,19.587307
192.0,30,19.611698
103.0,18,19.627037
67.0,9,19.634891
187.0,30,19.6594
192.0,30,19.778055
65.0,6,19.782794
43.0,30,19.807353
158.0,20,19.824314
113.0,10,19.832884
50.0,1,19.833969
85.0,6,19.840627
124.0,25,19.862682
89.0,28,19.9989
118.0,30,20.02161
131.0,30,20.044483
55.0,7,20.049902
77.0,27,20.07024
93.0,30,20.180159
110.0,11,20.188075
182.0,30,20.211077
82.0,30,20.234928
217.0,28,20.257116
128.0,27,20.367657
99.0,30,20.390491
113.0,10,20.398547
166.0,22,20.415415
58.0,30,20.434903
92.0,7,20.439536
102.0,20,20.527351
95.0,30,20.548909
-48.0,30,20.57187
164.0,30,20.594409
151.0,30,20.619503
147.0,30,20.810811
198.0,25,20.830052
133.0,29,20.853586
61.0,30,20.877567
192.0,30,20.983099
143.0,30,21.005929
85.0,6,21.009789
43.0,30,21.032474
59.0,22,21.050021
147.0,30,21.072239
129.0,30,21.182318
187.0,30,21.202292
116.0,22,21.218522
-15.0,30,21.237548
-48.0,30,21.349834
130.0,23,21.370056
234.0,29,21.393213
120.0,17,21.408156
120.0,11,21.415982
-48.0,30,21.437105
142.0,16,21.550653
119.0,30,21.572538
157.0,30,21.595811
132.0,30,21.617814
154.0,20,21.63155
201.0,24,21.742854
79.0,7,21.748006
101.0,25,21.765754
178.0,24,21.784719
134.0,30,21.806231
103.0,30,21.92245
54.0,30,21.94553
171.0,30,21.967314
95.0,18,21.980814
134.0,30,22.001848
113.0,30,22.120224
151.0,30,22.141764
166.0,30,22.1644
96.0,30,22.19605
54.0,11,22.209358
131.0,30,22.368459
177.0,30,22.398359
62.0,30,22.430409
43.0,30,22.462395
129.0,20,22.486869
153.0,30,22.613121
94.0,30,22.638189
105.0,30,22.661471
3.0,30,22.684902
85.0,6,22.689775
86.0,30,22.808763
103.0,30,22.834041
20.0,30,22.85853
169.0,23,22.876655
83.0,30,22.998096
-18.0,30,23.020751
123.0,17,23.034106
77.0,10,23.042288
177.0,30,23.064828
15.0,30,23.185115
143.0,30,23.209266
185.0,26,23.230925
91.0,14,23.242201
71.0,9,23.249755
88.0,30,23.273593
163.0,30,23.45182
171.0,30,23.487412
166.0,30,23.518787
123.0,14,23.531696
122.0,30,23.558739
74.0,19,23.668737
157.0,30,23.691633
88.0,17,23.705441
191.0,29,23.728169
38.0,30,23.756514
87.0,7,23.762424
172.0,30,23.902525
163.0,30,23.933758
-15.0,30,23.964062
192.0,30,23.993531
140.0,30,24.124709
111.0,20,24.143688
71.0,4,24.147852
144.0,30,24.172004
157.0,30,24.19764
110.0,21,24.214135
34.0,30,24.328772
70.0,30,24.352788
159.0,18,24.37005
85.0,15,24.382145
92.0,7,24.388119
156.0,28,24.40833
153.0,30,24.516125
150.0,30,24.536295
80.0,30,24.556326
70.0,11,24.563879
154.0,30,24.583688
142.0,30,24.69517
142.0,30,24.71718
129.0,30,24.739202
152.0,30,24.760672
212.0,26,24.874815
164.0,30,24.900386
61.0,9,24.909091
94.0,30,24.935445
174.0,30,24.964217
186.0,26,25.081103
176.0,19,25.096415
126.0,30,25.118924
132.0,30,25.143751
153.0,30,25.168083
172.0,30,25.330188
192.0,30,25.349703
182.0,30,25.371508
192.0,30,25.391209
62.0,30,25.510189
66.0,30,25.532499
94.0,30,25.555681
182.0,30,25.578581
117.0,19,25.591832
142.0,30,25.697708
162.0,30,25.71633
187.0,30,25.736697
119.0,30,25.758131
149.0,30,25.863359
67.0,15,25.872796
115.0,30,25.891469
176.0,26,25.912173
114.0,30,25.93601
78.0,5,25.939883
161.0,30,26.044398
144.0,30,26.065087
163.0,30,26.086808
23.0,30,26.106511
134.0,13,26.114554
171.0,30,26.219942
73.0,30,26.241238
192.0,30,26.261197
183.0,20,26.276503
99.0,30,26.381245
192.0,30,26.401568
174.0,30,26.421469
129.0,30,26.442382
-9.0,30,26.548616
30.0,30,26.569306
182.0,30,26.588485
192.0,30,26.610393
62.0,8,26.615458
131.0,30,26.714903
161.0,30,26.734554
72.0,6,26.738364
43.0,30,26.757524
91.0,13,26.766092
141.0,14,26.775422
192.0,30,26.798084
131.0,30,26.905782
158.0,30,26.931461
114.0,30,26.955283
146.0,30,26.973974
187.0,30,27.077943
104.0,12,27.085907
118.0,30,27.104549
147.0,30,27.125708
145.0,30,27.146438
113.0,30,27.253912
161.0,30,27.273673
169.0,18,27.287319
187.0,30,27.307667
91.0,11,27.316022
187.0,30,27.414457
111.0,18,27.42814
182.0,30,27.449371
179.0,30,27.46846
51.0,30,27.489609
123.0,30,27.593927
113.0,13,27.602847
178.0,20,27.618052
159.0,30,27.638769
169.0,26,27.656391
171.0,30,27.760686
177.0,30,27.779797
99.0,30,27.800332
174.0,30,27.823345
131.0,30,27.927559
155.0,30,27.951437
89.0,30,27.97148
226.0,27,27.989769
192.0,30,28.008226
161.0,30,28.11328
134.0,30,28.135794
147.0,30,28.158912
103.0,30,28.179064
184.0,22,28.2815
-48.0,30,28.303341
-48.0,30,28.32575
123.0,30,28.347827
192.0,30,28.449329
182.0,30,28.470282
164.0,30,28.490069
110.0,11,28.497256
187.0,30,28.519348
174.0,30,28.624024
-48.0,30,28.645801
155.0,30,28.667633
161.0,30,28.687001
192.0,30,28.709617
179.0,30,28.811757
158.0,30,28.833021
182.0,30,28.853353
179.0,27,28.871671
192.0,30,28.983825
142.0,30,29.002613
192.0,30,29.023822
67.0,6,29.028451
148.0,30,29.047523
192.0,30,29.152007
131.0,30,29.17119
167.0,23,29.18594
192.0,30,29.206228
70.0,30,29.226963
107.0,30,29.327918
71.0,4,29.330575
155.0,30,29.349388
147.0,30,29.370612
139.0,30,29.394591
99.0,30,29.498038
115.0,30,29.517034
192.0,30,29.535524
123.0,30,29.556031
182.0,30,29.658578
192.0,30,29.681127
150.0,30,29.703778
99.0,30,29.727013
171.0,30,29.864002
91.0,30,29.895026
155.0,30,29.926694
127.0,15,29.940292
163.0,30,29.964723
156.0,18,30.065625
121.0,30,30.088547
134.0,30,30.109101
177.0,30,30.129345
67.0,30,30.153491
204.0,23,30.257065
142.0,30,30.280187
139.0,30,30.300778
85.0,6,30.305412
19.0,30,30.32825
100.0,10,30.334624
187.0,30,30.440408
139.0,30,30.463661
172.0,30,30.487063
85.0,9,30.494947
139.0,30,30.515973
192.0,30,30.62665
147.0,30,30.647395
204.0,30,30.668827
187.0,30,30.690875
192.0,30,30.797583
129.0,30,30.820509
166.0,30,30.842537
102.0,30,30.86552
59.0,30,30.979672
134.0,13,30.989404
213.0,25,31.00511
192.0,30,31.025216
3.0,30,31.047832
182.0,30,31.149394
131.0,30,31.172375
172.0,21,31.186902
150.0,30,31.209242
179.0,30,31.231295
142.0,30,31.33128
69.0,17,31.344504
113.0,26,31.364625
92.0,7,31.36959
150.0,30,31.392007
187.0,30,31.50356
142.0,30,31.526265
51.0,30,31.548909
150.0,19,31.564443
11.0,30,31.588162
-18.0,30,31.702822
-48.0,30,31.72288
166.0,30,31.742904
92.0,10,31.751093
192.0,30,31.771759
163.0,30,31.872406
147.0,30,31.891317
219.0,29,31.910132
-48.0,30,31.933182
192.0,30,32.040966
166.0,30,32.060224
155.0,19,32.07216
107.0,30,32.092589
78.0,30,32.111291
192.0,30,32.204896
150.0,30,32.227373
171.0,30,32.249541
173.0,23,32.26704
161.0,21,32.282765
187.0,30,32.384181
192.0,30,32.40421
174.0,30,32.423674
171.0,30,32.445848
201.0,30,32.548497
147.0,29,32.567173
192.0,30,32.587292
187.0,30,32.613473
